0823+033     31.9     6.9	  33.1
0823-223    142.0    15.5	 157.5
0827+243    116.2     9.2	 119.0
0829+046     62.7     4.1	  72.2
0834-201    266.8    10.6	 260.8
0836+182    305.7     2.8	 316.8
0836+710    221.1     8.2	 221.0
0837+012    218.7    23.2	 247.5
0838+133     89.2     7.1	  86.9
0845-068     61.9     6.1	  44.2
0846+513     93.1    16.6	 101.5
0847-120     70.6    15.2	  36.5
0850+581    146.6     5.4	 152.1
0851+202    252.3    32.5	 249.8
0854-108    249.2     6.8	 245.5
0858+050      0.0     0.0	 120.7
0859-140    146.5     2.8	 152.6
0859+210    145.1     2.6	 146.0
0903-088    110.5     4.3	 117.8
0906+015     44.1     6.1	  43.9
0910-208     94.5     2.1	  79.5
0912+297    198.4     2.0	 209.3
0916+864    298.8     3.3	 332.8
0917+449    194.1    27.6	 176.9
0917+624    307.6     8.4	 322.0
0922+316     18.5     0.1	  14.9
0923+392     95.6     4.0	  96.8
0925+504    107.8    10.0	 110.1
0938-076    168.3     0.6	 168.7
0938-133    141.8     8.6	 126.0
0939-077    147.5     7.9	   0.0
0945+408    114.1    11.1	 115.9
0946+006     17.9     8.6	  21.8
0951+268      0.0     0.0	 133.0
0953+254    229.2     8.3	 242.4
0954+658    334.5     9.0	 318.9
0955+476     99.1    29.8	 110.1
1011+496    281.1     2.6	 262.0
1013+054    127.8    14.2	 137.2
1015+359    185.2     5.7	 182.7
1027+749     50.8     3.7	  48.2
1030+415    324.6    10.4	  37.1
1030+611    182.8     6.4	 169.8
1034-293    134.1     5.4	 135.5
1036+054    353.4     9.0	 351.6
1038+064    158.8     6.1	 155.8
1040+244     89.3     6.0	  85.4
1044+719    132.3    23.8	 160.9
1045-188    144.0     7.7	 149.0
1055+018    297.2    15.8	 296.1
1055+567    241.7     3.9	 263.9
1101+384    336.5    14.5	 330.0
1118-056     26.7     2.4	  29.7
1118+073    219.9     0.3	 221.8
1124-186    152.8    28.6	 173.1
1127-145     85.4     8.4	  86.9
1128-047    249.6    14.4	 204.7
1128+385    184.5     7.3	 195.5
1133+704    116.0    15.8	  92.9
1139+160    155.7     2.2	 158.1
1142+198     26.9     4.5	  24.6
1144+402    323.8    53.7	 337.5
1145-071    289.9     3.7	 280.7
1147+245    283.3    10.8	 258.9
1148-001    236.9     2.8	 238.1
1150+497    210.2     6.2	 210.3
1150+812    225.7     8.2	 197.0
1151+408    261.6     0.7	 263.1
1156+295      6.0    11.9	   0.6
1157-215    347.6     0.6	 341.6
1200+608    215.1     4.5	 196.3
1202-262    344.7     2.3	 340.4
1206+416     62.3     2.5	 125.0
1213-172    105.7     9.0	 116.5
1215+303    152.3     1.5	 148.2
1219+044    186.2     6.5	 173.3
1219+285    102.0     6.5	 105.5
1222+216      3.7    11.1	   4.0
1224-132    246.0    15.5	 254.7
1226+023    222.6    10.3	 222.2
1227+255    268.4     1.3	 260.6
1228+126    282.8    11.3	 289.9
1236+049    280.2     3.9	 302.6
1236+077    297.1     0.6	 306.3
1243-072    267.0    10.7	 254.4
1244-255    132.9     6.8	 138.9
1246+586    353.8     3.7	 357.7
1247+025      0.0     0.0	 283.7
1250+532    245.8     2.2	 247.1
1253-055    224.8     9.3	 230.7
1300+248    320.1     5.8	 314.5
1302-102     32.6     4.2	  31.4
1307+121     37.6     2.2	  39.0
1308+326    308.0    19.3	 305.8
1310+487     49.3     6.1	  49.9
1318+225     70.8     6.1	  64.5
1324+224    359.4    43.4	 261.5
1329-049      5.2     3.4	  12.6
1329-126    107.5    14.1	  99.8
1331+170     21.3     1.9	  22.5
1334-127    147.5    14.3	 148.6
1341-171    304.3    31.4	 309.2
1343+451    223.5    35.1	 161.3
1345+125    165.9     3.6	 168.3
1348+308    293.1     4.7	 294.2
1402+044    335.4     2.9	 335.0
1404+286      0.0     0.0	  40.0
1406-076    271.7     7.0	 259.8
1413+135    247.0     4.3	 243.7
1417+385    196.5    37.0	 158.9
1418-110    131.5     7.2	 143.1
1418+546    129.7     7.8	 130.1
1420+326      0.0     0.0	 133.8
1424+240    143.8     5.4	 146.4
1435+638    232.1     1.9	 236.0
1441+252    279.7     6.7	 292.7
1458+718    167.2    10.1	 163.6
1459+480      0.0     0.0	  87.7
1502+036    290.6    20.3	 291.8
1502+106    102.4     7.2	 116.4
1504-166    201.0     6.2	 190.7
1509+054    273.6     0.7	 246.4
1510-089    323.8     8.7	 325.9
1514+004    332.5     2.0	 332.9
1514+197    332.9    10.0	 335.4
1514-241    167.9     3.0	 167.5
1515-273      0.0     0.0	  99.6
1519-273    279.5     9.3	 249.2
1520+319     12.7    52.7	  11.0
1529-131    232.9     4.9	 227.0
1532+016    122.1     8.4	 136.9
1537+279    142.4     5.6	 161.3
1538+149    324.4     3.0	 325.7
1541+050      0.0     0.0	 189.0
1542+328      0.0     0.0	 201.8
1542+616    133.3     4.9	 116.1
1546+027    189.7    12.0	 173.3
1548+056    350.9     9.1	 356.8
1549+089    220.2     5.6	 226.1
1550+582    171.1     6.8	 173.8
1551+130      4.1    10.0	   5.4
1553+113     80.7    15.4	  39.1
1557+565    129.0     1.4	 108.0
1602+576    160.9     1.7	 146.9
1603+573    262.9     2.2	 279.2
1604+159     60.0     2.4	  62.7
1606+106    304.9    12.9	 311.5
1611+343    163.5    21.2	 156.5
1617+229    152.1     1.2	 137.4
1622-253    351.4    59.0	  10.0
1622-297    291.7    14.2	 292.4
1623+569      0.0     0.0	  14.0
1633+382    297.7    21.4	 286.9
1636+473    349.6     1.5	 343.7
1637+574    197.7    11.3	 204.4
1637+826    301.0     7.0	 299.5
1638+118    270.1     2.3	 265.5
1638+398    284.4    29.5	 288.0
1641+399    262.7    12.8	 266.2
1642+690    192.6    23.3	 194.3
1652+398    164.0     6.1	 152.8
1655+077    320.2     9.2	 321.2
1656+482    274.3     7.5	 250.5
1700+685    141.8     3.8	 140.4
1708+433     99.0     5.8	 107.7
1716+686    345.8     4.5	 329.0
1717+178    216.0     4.5	 200.0
1722+401    289.6     7.7	 303.9
1725+044    115.4     7.4	 114.4
1725+123    325.6     1.3	 326.9
1726+455    230.6    14.1	 244.4
1726+552      0.0     0.0	 347.1
1727+502    272.5     9.4	 281.7
1730-130      7.8    15.7	   5.7
1732+389    120.7    11.6	 117.9
1738+476    223.2     7.9	 230.4
1738+499     28.4     5.0	  39.0
1739+522     57.3    73.5	  40.2
1741-038    195.8    12.7	 261.2
1741+196     62.7     1.7	  68.9
1742-078    198.2     0.8	 187.2
1749+096     12.7    18.8	  15.3
1749+701    296.8     8.4	 295.1
1751+288      5.9    11.5	  10.9
1754+155    244.7     2.0	 236.3
